month,avg_duration
2011-07-01,1941.64
2011-08-01,1457.26
2011-09-01,1273.16
2011-10-01,1147.9
2011-11-01,894.41
2012-03-01,1026.15
2012-04-01,957.33
2012-05-01,997.92
2012-06-01,940.83
2012-07-01,1008.28
2012-08-01,980.66
2012-09-01,920.9
2012-10-01,828.41
2012-11-01,790.48
2013-04-01,916.3
2013-05-01,881.55
2013-06-01,924.47
2013-07-01,897.55
2013-08-01,919.83
2013-09-01,821.93
2013-10-01,771.66
2013-11-01,692.5
